,highschool,student_ablity
0,highschool_869,-1.5286993665128301
1,highschool_735,-0.747540804077342
2,highschool_490,0.3701939910138573
3,highschool_917,-2.005471161656816
4,highschool_622,0.7340038036335875
5,highschool_746,-0.17391004381018987
6,highschool_679,-1.0451077257328356
7,highschool_443,-0.7507739126258962
8,highschool_924,-0.546094622997852
9,highschool_280,0.3514432692617276
10,highschool_972,-2.1758668763636564
11,highschool_672,-0.3969887760829882
12,highschool_722,-0.20513060890385976
13,highschool_571,-0.2640957131017181
14,highschool_119,2.513675092282761
15,highschool_011,1.3248390710336726
16,highschool_898,-0.298254317454415
17,highschool_839,-1.156051360652607
18,highschool_476,0.3192749352902227
19,highschool_925,-0.4386689236704892
20,highschool_316,0.29582002686733094
21,highschool_144,-0.19658459760315705
22,highschool_209,0.4162396478747188
23,highschool_602,-0.41408613380511705
24,highschool_895,-0.007760573750432368
25,highschool_328,0.4922521602205206
26,highschool_554,-0.8185589872301567
27,highschool_368,0.6050790348063488
28,highschool_260,0.08508182727477856
29,highschool_259,0.7629340691401625
30,highschool_863,-2.558884862000271
31,highschool_902,-0.7643291520874732
32,highschool_879,-0.9585893454184029
33,highschool_779,-1.1896239630409922
34,highschool_421,0.12851888763520458
35,highschool_474,0.09316888974226806
36,highschool_908,-1.0014903653850387
37,highschool_192,0.982933120913012
38,highschool_387,-0.6864768715495443
39,highschool_615,-0.30293637956746866
40,highschool_498,-0.7466244160743407
41,highschool_640,-1.086083010646106
42,highschool_510,-0.10755758404717662
43,highschool_050,1.2742974625780412
44,highschool_209,0.07974108551836938
45,highschool_642,-0.603481058026602
46,highschool_412,2.044326365269735
47,highschool_857,-0.6804986667102335
48,highschool_201,0.7639117083707269
49,highschool_309,-0.5357635170191811
50,highschool_164,0.604755919432433
51,highschool_786,0.6668177434527229
52,highschool_812,-0.6156951363697676
53,highschool_985,-1.3395199443478143
54,highschool_839,-1.8204799857998544
55,highschool_224,1.4257651090276071
56,highschool_140,1.3799837373712553
57,highschool_469,-1.5216178904403033
58,highschool_825,-1.3679950894989878
59,highschool_308,0.21168712223111405
60,highschool_783,0.455380053963834
61,highschool_479,0.2570062375873176
62,highschool_304,-0.1648405701449182
63,highschool_188,0.04961568238292491
64,highschool_133,-0.520347191696092
65,highschool_526,-0.32532466006122246
66,highschool_236,0.5758313711896154
67,highschool_039,0.9717663355742534
68,highschool_857,-0.31622375523712387
69,highschool_128,1.5052026490084816
70,highschool_589,0.5539470380110355
71,highschool_143,1.2572811073955268
72,highschool_863,-1.721587986340774
73,highschool_058,1.8318612933493008
74,highschool_837,-0.9993972843272301
75,highschool_891,-0.557429839154286
76,highschool_199,0.8706518968771426
77,highschool_236,0.9551388401141216
78,highschool_080,1.4891275656849727
79,highschool_081,2.150128830957187
80,highschool_310,0.439850835243373
81,highschool_912,-0.9914213044340219
82,highschool_007,1.954533054200363
83,highschool_215,0.1779515855332277
84,highschool_551,-0.12377328552481419
85,highschool_367,0.06598009963318065
86,highschool_828,-2.1697709272564025
87,highschool_162,1.5519387663030975
88,highschool_687,0.08269167501973852
89,highschool_174,-0.09552310642163539
90,highschool_010,3.092681324018621
91,highschool_733,1.179623030493366
92,highschool_873,-0.768280487169438
93,highschool_889,-0.3459303810259816
94,highschool_130,1.1664550201727104
95,highschool_656,-0.09799646482076584
96,highschool_720,-0.8805137875141646
97,highschool_287,0.700370266619131
98,highschool_256,0.9515837865021638
99,highschool_177,0.6239456040740317
100,highschool_950,-1.2627862714025089
101,highschool_716,0.062341560777146886
102,highschool_512,0.6360195621343264
103,highschool_195,0.005779602587608751
104,highschool_400,0.3031751783122594
105,highschool_534,-0.264876728211214
106,highschool_882,-0.08791317737053601
107,highschool_870,-0.7571085113008351
108,highschool_405,-0.17091959748663563
109,highschool_056,-0.14597728718219358
110,highschool_842,0.6082676861742081
111,highschool_237,-0.5712815776686314
112,highschool_169,-0.007514979073521617
113,highschool_008,0.6520303605545724
114,highschool_277,0.8300665867403658
115,highschool_104,1.0232808614103148
116,highschool_873,-0.8878335076947166
117,highschool_519,0.20753100080575576
118,highschool_000,2.686569388280019
119,highschool_771,0.28349983988389366
120,highschool_409,-1.1891265629010488
121,highschool_920,-0.1257885815536856
122,highschool_033,1.9076457055776337
123,highschool_542,-0.1650337210311624
124,highschool_558,-0.809810347639776
125,highschool_127,1.166230533885028
126,highschool_943,-0.8531506990069777
127,highschool_658,-0.30763945098912904
128,highschool_865,-1.5637199510057895
129,highschool_244,0.0220127887135801
130,highschool_348,-0.13235915185637845
131,highschool_703,-0.04471739984497329
132,highschool_328,-0.9915432125282396
133,highschool_194,1.2822979372848125
134,highschool_836,-1.9677165434925983
